"fecha","numero","signo","sorteo"
"2024-05-17","9396","Aries","7393"
"2024-05-16","5365","Tauro","7392"
"2024-05-15","0786","Geminis","7391"
"2024-05-14","2396","Geminis","7390"
"2024-05-13","2369","Acuario","7389"
"2024-05-12","7036","Acuario","7388"
"2024-05-11","6279","Virgo","7387"
"2024-05-10","4134","Tauro","7386"
"2024-05-09","7619","Virgo","7385"
"2024-05-08","6369","Tauro","7384"
"2024-05-07","1068","Leo","7383"
"2024-05-06","2161","Escorpion","7382"
"2024-05-05","5903","Aries","7381"
"2024-05-04","2640","Capricornio","7380"
"2024-05-03","4365","Libra","7379"
"2024-05-02","4372","Capricornio","7378"
"2024-05-01","2269","Libra","7377"
"2024-04-30","9593","Geminis","7376"
"2024-04-29","1076","Sagitario","7375"
"2024-04-28","2851","Virgo","7374"
"2024-04-27","4907","Escorpion","7373"
"2024-04-26","9811","Cancer","7372"
"2024-04-25","1245","Capricornio","7371"
"2024-04-24","8339","Leo","7370"
"2024-04-23","8776","Geminis","7369"
"2024-04-22","5350","Capricornio","7368"
"2024-04-21","5540","Acuario","7367"
"2024-04-20","7041","Libra","7366"
"2024-04-19","6089","Acuario","7365"
"2024-04-18","8136","Piscis","7364"
"2024-04-17","8171","Sagitario","7363"
"2024-04-16","9344","Capricornio","7362"
"2024-04-15","7714","Capricornio","7361"
"2024-04-14","7708","Sagitario","7360"
"2024-04-13","4971","Tauro","7359"
"2024-04-12","7777","Sagitario","7358"
"2024-04-11","9572","Libra","7357"
"2024-04-10","3725","Escorpion","7356"
"2024-04-09","8152","Piscis","7355"
"2024-04-08","1793","Tauro","7354"
"2024-04-07","9555","Escorpion","7353"
"2024-04-06","1601","Libra","7352"
"2024-04-05","4359","Virgo","7351"
"2024-04-04","2070","Acuario","7350"
"2024-04-03","3534","Geminis","7349"
"2024-04-02","8030","Tauro","7348"
"2024-04-01","7377","Acuario","7347"
"2024-03-31","1825","Aries","7346"
"2024-03-30","0170","Geminis","7345"
"2024-03-29","0712","Piscis","7344"
